Mods count: 248
 
jar name                                                                           | mod id (isMCreator)                            | mixin configs
fmlloader-1.20.1-47.4.0.jar (modloader)                                            | forge                                          | 
1.8.1+1.20.1+forge.jar                                                             | emi_letsdo_compat                              | emi_letsdo_compat-common.mixins.json, emi_letsdo_compat.mixins.json
[1.20.1] SecurityCraft v1.10.0.1.jar                                               | securitycraft                                  | securitycraft.mixins.json
access_denied-6.2.1.jar                                                            | access_denied                                  | 
AgeingSpawners-1.20.1-2.0.0.jar                                                    | ageingspawners                                 | ageingspawners.mixins.json
AiyCrates 1.20.1 - 1.0.0.jar                                                       | aiycrates                                      | 
alexsmobs-1.22.9.jar                                                               | alexsmobs                                      | citadel.mixins.json
alltheleaks-1.1.1+1.20.1-forge.jar                                                 | alltheleaks                                    | alltheleaks.mixins.json
almanac-1.20.x-forge-1.0.2.jar                                                     | almanac                                        | almanac.mixins.json
AmbientEnvironment-forge-1.20.1-11.0.0.1.jar                                       | ambientenvironment                             | ambientenvironment.mixins.json
AmbientSounds_FORGE_v6.3.4_mc1.20.1.jar                                            | ambientsounds                                  | ambientsounds.mixins.refmap.json, ambientsounds.mixins.json
AnvilNeverTooExpensive-1.20.1-1.1.jar                                              | ante                                           | ante.mixins.json, ante.mixins.refmap.json
ApothicAttributes-1.20.1-1.3.7.jar                                                 | attributeslib                                  | attributeslib.mixins.json
appleskin-forge-mc1.20.1-2.5.1.jar                                                 | appleskin                                      | 
architectury-9.2.14-forge.jar                                                      | architectury                                   | architectury.mixins.json, architectury-common.mixins.json
athena-forge-1.20.1-3.1.2.jar                                                      | athena                                         | athena-forge.mixins.json, athena.mixins.json
Atlas Lib-1.20.1-1.1.12.jar                                                        | atlaslib                                       | 
auudio_forge_1.0.3_MC_1.19.3.jar                                                   | auudio                                         | auudio.mixin.json, auudio.mixin-refmap.json
BadMobs-1.20.1-19.0.4.jar                                                          | badmobs                                        | 
BadOptimizations-2.4.1-1.20.1.jar                                                  | badoptimizations                               | forge-badoptimizations.mixins.json, fabric-badoptimizations.mixins.json
baguettelib-1.20.1-Forge-1.1.6.jar                                                 | baguettelib                                    | baguettelib.mixins.json
balm-forge-1.20.1-7.3.38-all.jar                                                   | balm                                           | balm.mixins.json
    /META-INF/jarjar/kuma-api-forge-20.1.12+1.20.1.jar                             | kuma_api                                       | kuma_api.forge.mixins.json, kuma_api.mixins.json
bbb-forge-2.0pre4.jar                                                              | bbb                                            | bbb.mixins.json
    /META-INF/jars/midnightlib-1.4.2-forge.jar                                     | midnightlib                                    | midnightlib.mixins.json
bbs-1.20.1-0.1.3-forge.jar                                                         | bbs                                            | bbs.mixins.json
betterbiomereblend-1.5.3.jar                                                       | betterbiomereblend                             | betterbiomeblend-common.mixins.json
binocularsmod-1.02.jar                                                             | binocularsmod                                  | binocularsmod.mixins.json
biomereplacer-2.1-hippo-forge.jar                                                  | biome_replacer                                 | biome_replacer.mixins.json
biomesize-1.20.1-1.6.jar                                                           | biomesize                                      | biomesize.mixins.json
Bookshelf-Forge-1.20.1-20.2.15.jar                                                 | bookshelf                                      | bookshelf.forge.mixins.json, bookshelf.common.mixins.json
carryon-forge-1.20.1-2.1.2.7.jar                                                   | carryon                                        | carryon.mixins.json, carryon.forge.mixins.json
chaoszpack v.1.4.0 TacZ.jar                                                        | chaoszpack                                     | 
charmofundying-forge-6.5.0+1.20.1.jar                                              | charmofundying                                 | charmofundying.mixins.json
    /META-INF/jarjar/spectrelib-forge-0.13.15+1.20.1.jar                           | spectrelib                                     | 
chat_heads-0.15.0-forge-1.20.jar                                                   | chat_heads                                     | chat_heads.forge.mixins.json, chat_heads.mixins.json
citadel-2.6.3-1.20.1.jar                                                           | citadel                                        | citadel.mixins.json
cleanswing-1.20-1.8.jar                                                            | cleanswing                                     | 
cloth-config-11.1.136-forge.jar                                                    | cloth_config                                   | 
Clumps-forge-1.20.1-12.0.0.4.jar                                                   | clumps                                         | clumps.mixins.json
cofh_core-1.20.1-11.0.2.56.jar                                                     | cofh_core                                      | mixins.cofhcore.json, mixins.cofhcore.refmap.json
collective-1.20.1-8.13.jar                                                         | collective                                     | collective_fabric.crop.mixins.json, collective_fabric.mixins.json, collective_forge.mixins.json
colorwheel-forge-1.2.2+mc1.20.1.jar                                                | colorwheel                                     | colorwheel.mixins.json, colorwheel.forge.mixins.json
colorwheel_patcher-forge-1.0.4+mc1.20.1.jar                                        | colorwheel_patcher                             | colorwheel_patcher.mixins.json
combatroll-forge-1.3.3+1.20.1.jar                                                  | combatroll                                     | combatroll.mixins.json
comforts-forge-6.4.0+1.20.1.jar                                                    | comforts                                       | comforts.mixins.json
    /META-INF/jarjar/spectrelib-forge-0.13.15+1.20.1.jar                           | spectrelib                                     | 
configurableextramobdrops-1.20.1-3.5.jar                                           | configurableextramobdrops                      | configurableextramobdrops_forge.mixins.json, configurableextramobdrops_fabric.mixins.json
Controlling-forge-1.20.1-12.0.2.jar                                                | controlling                                    | controlling.mixins.json, controlling.forge.mixins.json
coolrain-1.20.1-Forge-1.0.3.jar                                                    | coolrain                                       | coolrain.mixins.json
copycats-3.0.7+mc.1.20.1-forge.jar                                                 | copycats                                       | copycats-common.mixins.json, copycats-forge.mixins.json
Corgilib-Forge-1.20.1-4.0.3.4.jar                                                  | corgilib                                       | corgilib-common.mixins.json
coroutil-forge-1.20.1-1.3.7.jar                                                    | coroutil                                       | coroutil.mixins.json, coroutil_fabric.mixins.json
corpse-forge-1.20.1-1.0.23.jar                                                     | corpse                                         | 
corpsecurioscompat-1.20.1-Forge-3.1.3.jar                                          | corpsecurioscompat                             | corpsecurioscompat.mixins.json
CraftPresence-2.7.1+1.20.1-forge.jar                                               | craftpresence                                  | 
CrashAssistant-forge-1.19-1.20.1-1.11.3.jar                                        | crash_assistant                                | 
    /META-INF/jarjar/app.jar                                                       |                                                | 
    /META-INF/jarjar/crash_assistant-forge.jar                                     | crash_assistant                                | crash_assistant.mixins.json, crash_assistant-forge.mixins.json
create-1.20.1-6.0.8.jar                                                            | create                                         | create.mixins.json
    /META-INF/jarjar/Ponder-Forge-1.20.1-1.0.91.jar                                | ponder                                         | ponder-common.mixins.json, ponder.mixins.json
    /META-INF/jarjar/Registrate-MC1.20-1.3.3.jar                                   |                                                | 
    /META-INF/jarjar/flywheel-forge-1.20.1-1.0.5.jar                               | flywheel                                       | flywheel.impl.mixins.json, flywheel.backend.mixins.json
create_netherless-1.20.1-1.3.jar                                                   | create_netherless (MCreator mod)               | 
createdeco-2.0.3-1.20.1-forge.jar                                                  | createdeco                                     | createdeco-common.mixins.json, createdeco.mixins.json
createlowheated-forge-1.20.1-6.0.8-6.jar                                           | createlowheated                                | createlowheated.mixins.json
CreativeCore_FORGE_v2.12.35_mc1.20.1.jar                                           | creativecore                                   | creativecore.mixins.json, creativecore.mixins.refmap.json, creativecore.forge.mixins.json
cupboard-1.20.1-3.5.jar                                                            | cupboard                                       | cupboard.mixins.json
cure-2.0.2-forge-1.20.1.jar                                                        | cure (MCreator mod)                            | 
curios-forge-5.14.1+1.20.1.jar                                                     | curios                                         | curios.mixins.json
Data_Anchor-forge-1.20.1-1.0.0.20.jar                                              | dataanchor                                     | dataanchor-common.mixins.json, dataanchor.mixins.json
decorative_blocks-forge-1.20.1-4.1.3.jar                                           | decorative_blocks                              | decorative_blocks.mixins.json, decorative_blocks.forge.mixins.json
DistantHorizons-3.2.0-b-1.20.1-fabric-forge.jar                                    | distanthorizons                                | DistantHorizons.forge.mixins-refmap.json, DistantHorizons.fabric.mixins-refmap.json, DistantHorizons.forge.mixins.json, DistantHorizons.fabric.mixins.json
    /META-INF/jars/fabric-api-0.92.6+1.20.1.jar                                    | fabric-api                                     | 
        /META-INF/jars/fabric-api-base-0.92.6.jar                                  | fabric-api-base                                | 
        /META-INF/jars/fabric-api-lookup-api-v1-0.92.6.jar                         | fabric-api-lookup-api-v1                       | fabric-api-lookup-api-v1.mixins.json
        /META-INF/jars/fabric-biome-api-v1-0.92.6.jar                              | fabric-biome-api-v1                            | fabric-biome-api-v1.mixins.json
        /META-INF/jars/fabric-block-api-v1-0.92.6.jar                              | fabric-block-api-v1                            | fabric-block-api-v1.mixins.json
        /META-INF/jars/fabric-block-view-api-v2-0.92.6.jar                         | fabric-block-view-api-v2                       | fabric-block-view-api-v2.client.mixins.json, fabric-block-view-api-v2.mixins.json
        /META-INF/jars/fabric-blockrenderlayer-v1-0.92.6.jar                       | fabric-blockrenderlayer-v1                     | fabric-blockrenderlayer-v1.mixins.json
        /META-INF/jars/fabric-client-tags-api-v1-0.92.6.jar                        | fabric-client-tags-api-v1                      | 
        /META-INF/jars/fabric-command-api-v1-0.92.6.jar                            | fabric-command-api-v1                          | 
        /META-INF/jars/fabric-command-api-v2-0.92.6.jar                            | fabric-command-api-v2                          | fabric-command-api-v2.mixins.json, fabric-command-api-v2.client.mixins.json
        /META-INF/jars/fabric-commands-v0-0.92.6.jar                               | fabric-commands-v0                             | 
        /META-INF/jars/fabric-containers-v0-0.92.6.jar                             | fabric-containers-v0                           | fabric-containers-v0.accurate.mixins.json, fabric-containers-v0.mixins.json
        /META-INF/jars/fabric-content-registries-v0-0.92.6.jar                     | fabric-content-registries-v0                   | fabric-content-registries-v0.mixins.json
        /META-INF/jars/fabric-convention-tags-v1-0.92.6.jar                        | fabric-convention-tags-v1                      | 
        /META-INF/jars/fabric-crash-report-info-v1-0.92.6.jar                      | fabric-crash-report-info-v1                    | fabric-crash-report-info-v1.mixins.json
        /META-INF/jars/fabric-data-attachment-api-v1-0.92.6.jar                    | fabric-data-attachment-api-v1                  | fabric-data-attachment-api-v1.mixins.json, fabric-data-attachment-api-v1.client.mixins.json
        /META-INF/jars/fabric-data-generation-api-v1-0.92.6.jar                    | fabric-data-generation-api-v1                  | fabric-data-generation-api-v1.mixins.json, fabric-data-generation-api-v1.client.mixins.json
        /META-INF/jars/fabric-dimensions-v1-0.92.6.jar                             | fabric-dimensions-v1                           | fabric-dimensions-v1.mixins.json
        /META-INF/jars/fabric-entity-events-v1-0.92.6.jar                          | fabric-entity-events-v1                        | fabric-entity-events-v1.client.mixins.json, fabric-entity-events-v1.mixins.json
        /META-INF/jars/fabric-events-interaction-v0-0.92.6.jar                     | fabric-events-interaction-v0                   | fabric-events-interaction-v0.client.mixins.json, fabric-events-interaction-v0.mixins.json
        /META-INF/jars/fabric-events-lifecycle-v0-0.92.6.jar                       | fabric-events-lifecycle-v0                     | 
        /META-INF/jars/fabric-game-rule-api-v1-0.92.6.jar                          | fabric-game-rule-api-v1                        | fabric-game-rule-api-v1.mixins.json, fabric-game-rule-api-v1.client.mixins.json
        /META-INF/jars/fabric-item-api-v1-0.92.6.jar                               | fabric-item-api-v1                             | fabric-item-api-v1.client.mixins.json, fabric-item-api-v1.mixins.json
        /META-INF/jars/fabric-item-group-api-v1-0.92.6.jar                         | fabric-item-group-api-v1                       | fabric-item-group-api-v1.client.mixins.json, fabric-item-group-api-v1.mixins.json
        /META-INF/jars/fabric-key-binding-api-v1-0.92.6.jar                        | fabric-key-binding-api-v1                      | fabric-key-binding-api-v1.mixins.json
        /META-INF/jars/fabric-keybindings-v0-0.92.6.jar                            | fabric-keybindings-v0                          | 
        /META-INF/jars/fabric-lifecycle-events-v1-0.92.6.jar                       | fabric-lifecycle-events-v1                     | fabric-lifecycle-events-v1.client.mixins.json, fabric-lifecycle-events-v1.mixins.json
        /META-INF/jars/fabric-loot-api-v2-0.92.6.jar                               | fabric-loot-api-v2                             | fabric-loot-api-v2.mixins.json
        /META-INF/jars/fabric-loot-tables-v1-0.92.6.jar                            | fabric-loot-tables-v1                          | fabric-loot-tables-v1.mixins.json
        /META-INF/jars/fabric-message-api-v1-0.92.6.jar                            | fabric-message-api-v1                          | fabric-message-api-v1.client.mixins.json, fabric-message-api-v1.mixins.json
        /META-INF/jars/fabric-mining-level-api-v1-0.92.6.jar                       | fabric-mining-level-api-v1                     | fabric-mining-level-api-v1.mixins.json
        /META-INF/jars/fabric-model-loading-api-v1-0.92.6.jar                      | fabric-model-loading-api-v1                    | fabric-model-loading-api-v1.mixins.json
        /META-INF/jars/fabric-models-v0-0.92.6.jar                                 | fabric-models-v0                               | 
        /META-INF/jars/fabric-networking-api-v1-0.92.6.jar                         | fabric-networking-api-v1                       | fabric-networking-api-v1.mixins.json, fabric-networking-api-v1.client.mixins.json
        /META-INF/jars/fabric-networking-v0-0.92.6.jar                             | fabric-networking-v0                           | 
